"","CAV1.TGF.1","CAV1.TGF.2","CAV1.TGF.3","CAV1.CTRL.1","CAV1.CTRL.2","CAV1.CTRL.3","WT.TGF.1","WT.TGF.2","WT.TGF.3","WT.CTRL.1","WT.CTRL.2","WT.CTRL.3"
"Afp",7.39956536469184,7.47362918098992,7.62124025847211,10.1921450700134,9.9514448661116,10.4833320684493,7.21054062020791,7.58579016811246,7.43384258520964,9.20694907178863,9.10913563058843,9.11346195411101
"Cav1",8.62537667102498,8.07877041129539,8.25547493415126,8.36003214811398,7.63586206036916,7.63561597538898,9.82209949977345,9.76005204471868,10.1158745206081,10.6875292681683,10.4112232249912,10.4242352533679
"Crlf1",10.1677923239257,9.75192778596476,10.5215373987047,8.30296453884659,8.32607592887055,8.15912081329667,9.20025355544735,8.83580835244092,9.06590386999834,8.26257059710599,8.24341043735863,8.04600121922911
"Vcan",8.36970907250436,8.44915662466161,8.58551585151144,7.77954930650846,7.82437268196205,7.7351396233468,7.74442611187329,7.67614390977954,7.68389708940145,8.52331392430173,8.75684759460226,8.53220329374731
"Cyp21a1",11.8067303219845,11.8215987716147,11.899978902593,11.6208961019652,10.8325094911126,11.5622599025563,11.8296310440193,11.8985815807915,11.9248170311133,10.1614981086438,9.75551313757048,10.588049165966
"Ebf1",8.53066855699978,7.89370351678872,9.17386459596143,6.16789118143909,5.81342812144187,6.09581674327754,7.15383654062762,6.69723305252962,7.30458907016452,6.28760208501158,6.31367583525067,6.09703695865379
"Fscn1",10.3041056507274,10.9016557836129,10.3444518503081,9.09668576192836,8.55255197451676,8.16404483820837,9.62217281588621,9.64457717970362,9.06045873290224,9.39095364938704,8.80736483999815,8.66666573468856
"Fgf2",9.75474944345363,9.9405912016348,10.5139097352441,6.63560641612317,6.5564256392398,6.65756840429873,8.4157900600879,8.52881171973894,8.90393582234839,6.49352021518884,6.39446661902294,6.45283412359159
"Gfpt2",10.0610342106366,10.1797266123977,11.0009122578721,6.73838735188589,7.05897876922767,6.75865982647612,9.01675771239317,9.06202479659424,9.55708373486246,6.97214462669109,7.0484224019527,6.67152289591176
"Htr1d",8.87308219830956,9.15066546027118,9.82032812587248,6.95619860217117,7.28776503930072,6.93391874103176,7.94595634392999,8.07177733569625,8.62871047961734,7.09872927260214,7.06115441999134,6.97889094860994
"Ifit3",8.16818238593748,8.01140449054354,7.37788934855545,11.1081241389905,12.2656543664817,12.9283643818867,7.660200438222,8.38155955217391,7.30948408181326,10.088585547931,10.8077433484113,9.86917454663447
"Il11",8.57500257080371,8.6403576222685,9.3979319934906,7.0204625316786,7.13137099156015,6.67844807889949,7.34691393152614,7.54925920309291,8.18481464415238,6.99031573286134,6.83417139444846,6.81524714739704
"Itgb3",10.178894603595,10.293498278934,11.1351773492089,8.06582119981214,8.06510782780745,8.01167355948805,9.39056753892943,9.31492561485708,9.58209304515196,8.11389277377446,8.12595403460408,7.76940538795756
"Mbl2",10.1807028025774,10.1765702819106,9.58509499717124,11.0106596380962,11.515399297351,11.7426779348176,10.9665967256324,11.0468882839541,11.0164018177338,10.9526273772644,11.5511694809206,11.6110269238485
"Mmp2",9.27938195996435,9.31710189765275,9.7132020325581,7.66715089913589,7.89704153860808,7.47901101050888,8.40341709226558,8.30496142076273,8.55967973040415,7.67651378257825,7.60557083627945,7.6709591878378
"Mmp9",11.9401141250147,12.502038713677,12.3452557716459,7.17184071283038,7.255762327741,6.98965289703085,10.9182368925322,11.5040089986794,11.3234330864235,7.19423553755278,7.06709811135166,6.83137068559016
"Nes",9.98272128417532,9.47493598335703,9.14002144669184,9.16610063235725,8.99721211964576,8.84397193500808,10.3151392914034,9.62906051283153,9.40840580433106,10.1230053573424,9.99623965550165,10.2253484931568
"Pla2g4a",8.42160599507243,8.32756463378792,8.86545049064764,6.41161699896751,6.23132782301395,6.37400819789669,7.54392324969457,7.34352243911277,7.30179183180895,6.37745280741431,5.97989430526217,6.33709854259605
"Ptgs2",11.6268127826926,11.4759148591839,11.9041747864105,7.87034053319486,7.88290841560735,8.63646105847864,9.9895131923754,10.0496191613921,10.1855135395523,7.50507904085097,7.43154189646386,7.89026345850571
"Trim30a",10.1813938165635,10.340665512785,9.64304321590302,11.4596367088996,12.0455762786836,12.3373593763493,10.2069387901291,10.2217000030571,9.59293403307226,10.9311557007859,11.1160107353578,10.6737820276247
"Phf11d",7.0707033176261,7.46810469738798,6.94536107084944,9.49554714803535,10.5107561106794,10.9476611253201,6.89345674235133,7.36584654411765,6.81652094597787,8.59497693151365,9.17493446181143,8.66764221210832
"Tnc",12.0640180050981,11.8834422370196,12.1896899724085,9.12730725043359,8.80943754185757,8.87584234350092,11.4366006641061,11.3259047503062,11.8597209914993,10.4359258609062,10.0047544392501,10.324660099312
"Csgalnact1",8.8482042950084,8.30765421536006,9.32776926349095,6.88286243693114,6.93895298400138,6.70327144112166,7.85468824338656,7.73850115119416,7.86938584950501,6.85020714835625,6.71725947631969,6.7669722294392
"Oasl2",11.5657006761703,11.5883319638396,11.2221929967272,11.6270028012026,12.3309366978633,12.5579112589411,11.303753755675,11.2943358614843,11.0588494364262,10.9380627074631,11.2066728573677,11.0854696452761
"Oas3",7.35135715631315,7.44936566410172,7.09617751763196,8.07760822475772,9.11461240833121,9.94713489048067,7.34560297482881,7.18641689002953,7.27622891737913,7.55441784559508,7.58137848519588,7.54369321168515
"Nrep",10.661805320223,11.0060794331076,11.7561263714254,9.45110714840412,8.92813828212399,8.78154705090697,9.58386501720409,9.68774158399255,9.90105641978605,9.72731281054456,9.53562090428457,9.4006385834149
"Flrt2",9.19289442248695,9.71167718558657,10.3059453718172,6.55398436360724,6.48935952812243,6.25221763313339,7.99577356593672,8.45830572137272,8.94345905390566,6.57436210316866,6.18284161534631,6.11118800498645
"Gm5431",6.1431345790639,6.62071699588814,6.44564829505536,9.45993071261743,10.0908980277855,11.0830701145057,6.43878797963235,6.90171423526302,5.89433128272509,8.70828456908466,8.64206103587062,8.73665009538604
"Gbp3",8.82986271046538,9.02124556921101,8.63877080880352,9.56943367994373,10.5301771784755,10.9772217939706,8.58042560670703,8.98593780370556,8.48119422609225,9.1203939708933,9.46256729870444,9.30644870458904
"Zbp1",8.64835320943852,8.97157065801455,8.39675427358435,10.6398912294336,11.5759941055046,12.0281519955214,8.70625478789481,8.87301072739021,8.28695700082074,9.90744963445235,10.4115226166979,9.96590950184849
