"";"PROBEID";"SYMBOL";"ENTREZID";"GENENAME";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"1";"10344707";"Pcmtd1";"319263";"protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1";0,070389110007083;10,1375252482468;0,723625244682849;0,485003343840267;0,744046114860167;-5,77871642229964
"2";"10344725";"Adhfe1";"76187";"alcohol dehydrogenase, iron containing, 1";0,0967118381096235;7,94794902292753;0,271182839202829;0,791473429208427;0,90920852750958;-6,0047203353721
"3";"10344750";"Sgk3";"170755";"serum/glucocorticoid regulated kinase 3";0,0580926942535864;9,50478551187294;0,422995561395795;0,680776478981364;0,848593230020069;-5,95091016110245
"4";"10344817";"Cspp1";"211660";"centrosome and spindle pole associated protein 1";0,0704896730590789;9,42641007101039;0,458944084143862;0,655568123236827;0,835292615902665;-5,93483069409288
"5";"10344837";"Prex2";"109294";"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2";0,229784161974186;8,29333688252286;0,641493728948106;0,53486551891369;0,773550948162059;-5,83409574843714
"6";"10344897";"Sulf1";"240725";"sulfatase 1";0,884870306883676;7,00144754167415;4,57582875521949;0,000881794054071731;0,120822863964755;-0,325541545133646
"7";"10344924";"Xkr9";"381246";"X-linked Kx blood group related 9";-0,492506332607858;7,18159582626542;-2,83527520289319;0,0168127868585676;0,225636119150922;-3,00888638361335
"8";"10344952";"Rdh10";"98711";"retinol dehydrogenase 10 (all-trans)";-0,166850338076605;11,2440566595235;-0,562298842576164;0,585640025101077;0,80219247702779;-5,88165676668783
"9";"10345058";"Tmem14a";"75712";"transmembrane protein 14A";0,0514011399396797;8,5423231719792;0,252684065233549;0,80535901973005;0,917440409681258;-6,00969677425106
"10";"10345065";"Gsta3";"14859";"glutathione S-transferase, alpha 3";-0,476070164396241;10,5285791674485;-2,55198719844722;0,0276557659509473;0,263634980575596;-3,4594080530764
"11";"10345074";"Cetn4";"207175";"centrin 4";0,448667427287909;5,52504963812608;2,04474051657088;0,0666002013795837;0,340721796372366;-4,23971630222685
"12";"10345230";"Rab23";"19335";"RAB23, member RAS oncogene family";0,266975681045908;9,23733478756172;2,30866493841806;0,0422938454142144;0,304367222628579;-3,83974077548463
"13";"10345241";"Dst";"13518";"dystonin";0,0582286253134772;10,7575080925978;0,41455014578562;0,686760049846263;0,85143447336788;-5,95450440843219
"14";"10345423";"Plekhb2";"226971";"pleckstrin homology domain containing, family B (evectins) member 2";0,00689493422050269;10,3231528426677;0,0403413177734741;0,968572931511926;0,985890862870945;-6,041763218511
"15";"10345442";"Hs6st1";"50785";"heparan sulfate 6-O-sulfotransferase 1";-0,208715214976445;10,4880750868424;-1,58983458248205;0,14131215326491;0,446495566820034;-4,87825912672359
"16";"10345445";"Arid5a";"214855";"AT rich interactive domain 5A (MRF1-like)";-0,157371534052896;9,6618152274838;-1,13802296355609;0,280250235819952;0,58747209697904;-5,41303178513035
"17";"10345482";"Cnnm4";"94220";"cyclin M4";0,171625177732677;9,09713119539022;1,62306320857063;0,133994301048973;0,437594001173449;-4,83448444010627
"18";"10345656";"Nms";"433292";"neuromedin S";-0,391997941897309;6,92799002327549;-3,01604827155628;0,012239145793102;0,215672447569419;-2,7197095737656
"19";"10345675";"Npas2";"18143";"neuronal PAS domain protein 2";0,0608748605362646;8,70815472801365;0,128842056634497;0,899901558044569;0,958447094874331;-6,03402868800053
